era,session,block_number,stash_address,controller_address,bonded_amount,num_targets,targets
1117,5995,3462514,E5pkssSeyHapS8Kc37AFv6RkQHht9StP3YFnXJZs2Sqjtuw,HKyJUHPH2MzxiFoGUrqTT4KihRNPG2TSeM3LJEmH1AJGBtk,146756280221220,16,"EdMEEeBcmQehGJSmue8ZqgC1G6d6AEsVxdCNgQ24eHA2omw,F3BPTmS1fExbuA3SnjNx4jLi5Ensc5hRnGNhY9onYw2ok2H,EXHRoKfGoCe414hrzYbG8SNCNVgBxSpu6rHUBkPNtZcj3om,DaWieD32YURfqDC2jiQYbnXNWvPPGxF6XLH55Gk3ccBdjFy,GXTJJh2kQJoS9amET2WmZ82uFkm7HYCScoP9bEDV5JyKsWE,Gw6F31xYT3gzkxBVbdTmNoWdFmoHgtkLAyCauYynEvNkBNN,EUwcW86EFGDoDfUP2UJYuBwhCWC7cW9SdFH9cPh6UPBvBHj,E8MhgpapcCqr5tnT5xmJnYX8Kuc85HaM4T2q23Cf3iqQCrX,FG2vPisy1ocUrZupvZxXvuPmjqkWPabBv96h9atGAoud5B9,CdvyGjJbfcgcHuTyJKLGUA9u3kypCaHpohCEeUXmbTKryPR,H4oBKpy6PW6zns93rJvQTBWb3sKSpFw5Cf56zkaNGyjgbyc,FApDgUYw47GJMfwFaa7xPeR5FGtMkPWSoozW7n5tTPWwrNv,GybYig8gsMn1gPtTbdhRqtQ7VxSkuNd57rXhSMrBLviZwKM,EicrAEbyauqktQpp4CdvsF2CQy3Ju7tGGMohj3h5sAPnKHL,HqGhgHg6YvnhaXSnaAUvyTDiR4FirB6Ssh2XNDedTzwCDv2,GC8hwHbQ4TdbYJJPDS96G7Uj9bivnW5z56UEkqujjwhQPp5"
1117,5995,3462514,E3B9haJDjM4wtyKjLKBoynRFmmMdhZfeN2dqtAC6NVn4RfR,E3B9haJDjM4wtyKjLKBoynRFmmMdhZfeN2dqtAC6NVn4RfR,7099838637690,16,"Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5,G4xhPFzYSP6FQYB8bvpwnUwjJj7AefN9DgAKne9wYsQaNTm,GcwTLgVdLLiZxrNEii45oThh9wvthcBcLCUi6qg2NwGrEmr,EqyCQvYn1cHBdzFVQHQeL1nHDcxHhjWR8V48KbDyHyuyCGV,FJ68vDYXj1A7QxHKf6j7qcCdShrU2o5A2sZ3y5w4Rst2d3a,CczSz9z41uHpftVviWz91TgjLe3SmbvXfbAc958cjy7F6Qs,EonK7NScfhd7ZRfgnLhm4cKRFJWK1z59zPximUZRg8VjHQj,DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,GLiebiQp5f6G5vNcc7BgRE9T3hrZSYDwP6evERn3hEczdaM,FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC,GTUi6r2LEsf71zEQDnBvBvKskQcWvK66KRqcRbdmcczaadr,J6xn7Mr8pfed6gvvRPZ8HEEb89RCwheTBtxymg9Xw36hUUS,D5Xo7N2jginhYchuMNud2dYtby899koFcaRo2YWNmUquo5H,JJ2VvJMZxxW2pst7z6zxrD4VVPhH6YtemYsLeKWeQ9MKX3n"
1117,5995,3462514,FJSPvXR2eQvadJDhMpUhzDbAdifXpYK7y8BWWiTBU3HqUYT,FvfW5ozVrtFBRdBGVD1NFzmw6u3CXLcV6AmHqiWQ5RDGXWa,281798876221628,1,"JKmFAAo9QbR9w3cfSYxk7zdpNEXaN1XbX4NcMU1okAdpwYx"
1117,5995,3462514,JHA5SW4EkRnqGbxAWBX3LtpdZFVk9j84FX5D6RSVSSvHJbw,JHA5SW4EkRnqGbxAWBX3LtpdZFVk9j84FX5D6RSVSSvHJbw,354532619006588,16,"G82cJEEUiHN5sdHuLJV2H1cB9vAuRaYfzP9ozCgkRwu1Wys,HZ91GqtD3xEQQX7fnt9uphMnSrrnzU465VbkhPxFbFUaT48,HySKzYkMJgmenTnqfsVkJu4H95rD7uKsXBmJyAQd9GVLgwG,HyEF7X9mnHvPgwKq3EmppeSZ44d3oHqXXNWbP86WZhCHALe,HqGK18Sc8SX5R8MMPBe7oCkisrd4ZW33jDJwYoitYoM85Nt,EVTrCiV2qkxcKboYUL8hJWGyWrNGiqbQkHbSebax6jAB1Pz,D3akEDVnwED6Zct7UbekcRX8o2MorvZg2sCyQrRzGN9D1oR,CmHJ6qQAqShXXJ63ZmiSRhgmogujghQkRXbV5nKAvViYiws,J4khPjVkNUUUqrsiX6aW3GDhjmbpfXpqK2gthpnsVpR4Mwp,GtYMNf1zfLFkwYDgLi2nXqQ7ss8BnS9Mj7Lkm7BZ2ZrYAtW,GJFCVN8eVH5x5GJtxscKUt7BX4zoCuDqBKYsPBu1w3Yiq3n,DEFQigjrErCANqTMiTRuy7BB5L46q9C36Bxqe41GV1yR6vA,FAp5gVpwhwdmnJ1Ycet9z6Uva5tnfyCfA3AaY7WGi7u3DU4,EXcc1FkX1er19TroonFRic4AkgXdTn1HeJvmGmGWggJX7U3,H4Szoc2sxXxBTF1x88pDj9DCYERFvn4oqzQNsV7y89FnD1g,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF"
1117,5995,3462514,EZupWAPT5d1DDG97DmZMM6pZ681A2qvhw8Haw2DNDHLoX2i,EZupWAPT5d1DDG97DmZMM6pZ681A2qvhw8Haw2DNDHLoX2i,31427394256710,16,"FnWdLnFhRuphztWJJLoNV4zc18dBsjpaAMboPLhLdL7zZp3,CzugcapJWD8CEHBYHDeFpVcxfzFBCg57ic72y4ryJfXUnk7,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,FAp5gVpwhwdmnJ1Ycet9z6Uva5tnfyCfA3AaY7WGi7u3DU4,EXcc1FkX1er19TroonFRic4AkgXdTn1HeJvmGmGWggJX7U3,DDvLS6oBAF2wDjhRSysKhCK4bfPZJfYb2wyAEArszR9Eq55,EonK7NScfhd7ZRfgnLhm4cKRFJWK1z59zPximUZRg8VjHQj,EtgM5E6pecndYpKCLkfYeRfKSmVxT1mVvaxceJFnhuKqTpG,Fk3yTFztZdZa4a7yBpisz9ceMyjgYLtZ9CKSCfFNVhoW2ZC,CczSz9z41uHpftVviWz91TgjLe3SmbvXfbAc958cjy7F6Qs,GLiebiQp5f6G5vNcc7BgRE9T3hrZSYDwP6evERn3hEczdaM,EXKimARVhuvoLr6ShJZFMWRVQkCPej8H5ZEqkeLPvGi3C2U,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC,EX98wxj7cUkpPxcsEsNK9J6qX8N79mv6om8bbjLGnu9Q1ur,HNxuNtuTuvxYS59eo3pUxQ73JmoTCDjVXoiaF1wGCixGeFi,ETZ1EXDD4JEFPaNGRmDez4NEpvTbkf5YZ69emedEwz7y9s2"
1117,5995,3462514,E8fybBKmsG3s3hzRp3bW1mtTQvzQYE16ZnGxXTZgWprHch2,E8fybBKmsG3s3hzRp3bW1mtTQvzQYE16ZnGxXTZgWprHch2,201604362516770,16,"H4Szoc2sxXxBTF1x88pDj9DCYERFvn4oqzQNsV7y89FnD1g,CzugcapJWD8CEHBYHDeFpVcxfzFBCg57ic72y4ryJfXUnk7,FnWdLnFhRuphztWJJLoNV4zc18dBsjpaAMboPLhLdL7zZp3,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,FAp5gVpwhwdmnJ1Ycet9z6Uva5tnfyCfA3AaY7WGi7u3DU4,EXcc1FkX1er19TroonFRic4AkgXdTn1HeJvmGmGWggJX7U3,EtgM5E6pecndYpKCLkfYeRfKSmVxT1mVvaxceJFnhuKqTpG,Fk3yTFztZdZa4a7yBpisz9ceMyjgYLtZ9CKSCfFNVhoW2ZC,CczSz9z41uHpftVviWz91TgjLe3SmbvXfbAc958cjy7F6Qs,DDvLS6oBAF2wDjhRSysKhCK4bfPZJfYb2wyAEArszR9Eq55,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC,GxxV8DAcHCSzBbspu83AK9UoTYxzSQ6VVfdopjnkXfPtE8d,HNxuNtuTuvxYS59eo3pUxQ73JmoTCDjVXoiaF1wGCixGeFi,HR2uzUvdSnidW3cNr7eJ4uz1WBNHUZnrxkFTAKCp61xWeza,Eg2z2dcScFf4foDN4Gxn6JoJ7JeDN1U7m49jNssUZMLtNrD,Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5"
1117,5995,3462514,HHJrycDzgkRqQpw5oWUw7iGQMppuNud6LkQdtkxPXhiWQ5i,HHJrycDzgkRqQpw5oWUw7iGQMppuNud6LkQdtkxPXhiWQ5i,41410143859,16,"EDkyLR1J19e9agASF6PK649jiheqD95tRweFNyzTg11Xug4,DuRV4MSm54UoX3MpFe3P7rxjBFLfnKRThxG66s4n3yF8qbJ,GCNHHRBtpDcgADCaRPMNNk52JiitGrcv3DMQxwE6owXAfbt,G543pxmwKNAbW2WepZW7Ss9Wgx9wuDQWcPyhk4eEzpzcibG,D9rwRxuG8xm8TZf5tgkbPxhhTJK5frCJU9wvp59VRjcMkUf,EonK7NScfhd7ZRfgnLhm4cKRFJWK1z59zPximUZRg8VjHQj,ErhkFXudde5xXFVMGUtNpiPLvZ9zcvqM3ueRLukDdpjszys,D3bm5eAeiRezwZp4tWTX4sZN3u8nXy2Fo21U59smznYHu3F,Cp4U5UYg2FaVUpyEtQgfBm9aqge6EEPkJxEFVZFYy7L1AZF,CmD9vaMYoiKe7HiFnfkftwvhKbxN9bhyjcDrfFRGbifJEG8,F3BPTmS1fExbuA3SnjNx4jLi5Ensc5hRnGNhY9onYw2ok2H,DaWieD32YURfqDC2jiQYbnXNWvPPGxF6XLH55Gk3ccBdjFy,G2VeiHKf8pna2NRpdQ47XoRc4LL4ezQHABPmh865VSN7rTD,FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS,Gw6F31xYT3gzkxBVbdTmNoWdFmoHgtkLAyCauYynEvNkBNN,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC"
1117,5995,3462514,JEpxrWq3UY4YSPoYacZwG5bF7mPQC1sfhoR9HcJNHJmSoQX,Ehc6aMgqCrjZ2sBXbWMDbb6aEsXrR85bBamXuGBudNcpCDS,10528362160701089,1,"GStASjRfGdkNkLoj9JAHwdhEAodr7QVDpQFP1y5K6npMYUp"
1117,5995,3462514,DpN2t3zZGcuB6QCoMKZrWk9H75woK2nXAXpr9cfdcMvdxYB,DpN2t3zZGcuB6QCoMKZrWk9H75woK2nXAXpr9cfdcMvdxYB,17114333665873,1,"HRYTEruAjwDD46kkgaTYpGHQC6uea3AkeLJg4iterSmmjo2"
1117,5995,3462514,DVC2Yi5fdZP4dDbLuKvX1JDF5nZSUFGs1yz22NvT4V1Gf99,HZ829vaiYYKdC9epdCPjNc47MhDcQbYGXsij5q5UYF1vcae,130553187176467,16,"Czugcaq5WFUNtfuxGHDEhywYfgxMVtRP6CsNKz3UjMXRbKc,H4Szoc2sxXxBTF1x88pDj9DCYERFvn4oqzQNsV7y89FnD1g,CzugcatEG61Lc5Gzy2LS9dpTtafZEkfY2wdp9FdBHALv5Nz,CzugcatJoSH4dGoU3oddqoyAFtaA8NXFjeDqLZEC7G41CEw,CzugcaaiQQXbxGGR84Y7VupLQ4WWAxhakGH1BxFv4VzjYZu,CzugcamkzdEcznjyFWEy8eYgjc2EEtQV1po1r5r9Q4cU7fb,CzugcauEvozcfrDnSrkBLAM3aFhc3QNaGRSEUm1kpYqnCZr,Czugcaso8uTUyA5ptvpZp1jthoWSESrR6aFPCh7DnswH7TQ,Czugcai3t8bvCymZMeyha5gXzELohTFhdCNAWSE2Xyequfc,Czugcagr6FN7EoTpniy1GECh1kofpNw6DZQyfyYezJwzUZx,Czugcabp78pRQ6ZnW1qvxc4NdEMxatYGntrYsjMrt64fZHg,CzugcabnEhKE5kvrPjMEHiAK2ySrtNY5uwR5KTZSLCTM7mB,Czugcamn1qxcQkUqYLskKJJwNh7NtqzthhcEjwxyPm6pnBM,CzugcakidH54xfVbTQbjfAoikEhufSKxio5k76UaR4wfySm,CzugcahXz2J8Fn6vDJfro3pi51QoKhX49sAEHHfpNGBqCsK,CzugcabcMvdARautgxku7VxBi3fDEuJ7g247FDzBQ81A4Q6"
